business_name,category,city,address,phone,source
Shine Beauty Parlour,salons,Delhi,"29/76, Contractor Road, Hajipur-308773",+91 81884 90576,Google
Apna Bazar,grocery stores,Chennai,"H.No. 008, Gole Chowk, Kavali 706769",+91 88791 20117,Google
Unni Electric,electricians,Bengaluru,"48, Bhavsar Chowk, Srikakulam-633140",+91 98303 43575,Justdial
Thaman Kirana Store,grocery stores,Chennai,"07/91, Kale Nagar, Malda-506640",+91 73649 79412,Sulekha
FlowRight Plumber Services,plumbers,Ahmedabad,"H.No. 341, Raja Circle, Aurangabad 862614",+91 88587 35689,Google
Iron & Sweat Gym,gyms,Pune,"80/62, Bhat Chowk, Nandyal 909811",+91 83006 80313,Google
Parikh Clinic,clinics,Hyderabad,"H.No. 504, Krishnamurthy Road, Nashik-409634",056-28284348,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,,+91 73116 84451,Google
Scissors & Comb,salons,Delhi,"H.No. 32, Thakur Road, Sangli-Miraj & Kupwad 888690",+91 96253 99501,Google
Sai's Bistro,restaurants,Mumbai,"H.No. 085, Ahuja, Bijapur-534577",+91 98582 70901,Google
Volt Power Solutions,electricians,Bengaluru,"27/779, Dayal Zila, Aizawl 254597",+91 98502 25587,Google
Arogya Medical Centre,clinics,Hyderabad,"04/937, Randhawa Road, Ongole-368781",+91 82331 64717,Justdial
Shine Beauty Parlour,salons,Delhi,,+91 85738 75034,Sulekha
Michael's Unisex Salon,salons,Delhi,"H.No. 68, Yadav Circle, Tinsukia-829702",041-23560966,Google
Dr. Anamika's Clinic,clinics,Hyderabad,"H.No. 519, Kakar, Kadapa 216354",+91 82679 83570,Sulekha
Royal Darbar,restaurants,Mumbai,"32/773, Kapadia Path, North Dumdum-257919",059-21499242,Justdial
Bachittar Electric,electricians,Bengaluru,"08, Golla Ganj, Meerut 670317",+91 93138 64674,Google
Bhavika's Unisex Salon,salons,Delhi,"08, Baria Street, Visakhapatnam 576438",+91 99089 67705,Justdial
Bassi Kitchen,restaurants,Mumbai,"H.No. 999, Sethi Circle, Satna-179631",+91 95813 42230,Sulekha
Care & Cure Clinic,clinics,Hyderabad,"H.No. 135, Johal Street, Hazaribagh 280026",+91 72234 15270,Sulekha
Iron & Sweat Gym,gyms,Pune,"35/70, Mann Chowk, Vijayanagaram-115127",+91 75564 86948,Justdial
Scissors & Comb,salons,Delhi,"26, Pathak Nagar, Katihar 853017",+91 80340 90746,Sulekha
Manya's Bistro,restaurants,Mumbai,"89, Chander Marg, Ahmedabad 941005",+91 77717 26935,Google
Triveni's Bistro,restaurants,Mumbai,"11, Kara Nagar, Tadipatri-412855",+91 88377 57438,Google
Elite Tutorials,tutors,Kolkata,"48/509, Dugal Street, New Delhi-442992",+91 99076 59237,Justdial
Ranveer Plumbing,plumbers,Ahmedabad,"H.No. 754, Suresh Chowk, Medininagar 720294",+91 83498 24635,Google
Elite Tutorials,tutors,Kolkata,"85/718, Chowdhury, Madurai 925378",+91 79869 73970,Google
Kolkata Supermarket,grocery stores,Chennai,"322, Chaudhuri Circle, Bhimavaram 252483",+91 78596 78459,Google
Frederick Electric,electricians,Bengaluru,"02, Bhandari Path, Medininagar-095507",+91 80305 52534,Sulekha
Parikh Kitchen,restaurants,Mumbai,"74/685, Dube Circle, Madurai 124298",+91 86997 73426,Google
Bright Light Electricals,electricians,Bengaluru,,075-20639138,Google
Apna Bazar,grocery stores,Chennai,"575, Goyal Path, Firozabad-629924",+91 96555 38208,Google
Bright Future Academy,tutors,Kolkata,"18/577, Trivedi, Bhilwara-810772",072-24322656,Sulekha
Bail Kirana Store,grocery stores,Chennai,"62/93, Sharma Ganj, Fatehpur-672866",+91 75122 35763,Sulekha
Arogya Medical Centre,clinics,Hyderabad,"56/89, Pandey Street, Jalandhar 746967",+91 92762 88672,Justdial
Bengaluru Health Center,clinics,Hyderabad,"H.No. 432, Bhatnagar Zila, Surendranagar Dudhrej-292602",+91 71815 24459,Sulekha
Baral Kitchen,restaurants,Mumbai,"10/733, Handa Street, Ambarnath-840526",+91 82047 63083,Sulekha
Elite Tutorials,tutors,Kolkata,"H.No. 21, Bumb Ganj, Latur-457072",+91 81164 71771,Sulekha
Bright Future Academy,tutors,Kolkata,"H.No. 886, Lad Marg, Hajipur-778123",+91 87842 88159,Justdial
Apna Bazar,grocery stores,Chennai,"398, Kanda Road, Kanpur 973104",+91 81967 52331,Google
Dr. Balvan's Clinic,clinics,Hyderabad,"H.No. 01, Shere Road, Mango 750603",+91 93173 89183,Justdial
Hyderabad Supermarket,grocery stores,Chennai,"H.No. 076, Gill Ganj, New Delhi-919613",,Justdial
Volt Power Solutions,electricians,Bengaluru,"H.No. 390, Apte Ganj, Panihati-021813",079-26302410,Sulekha
Elite Tutorials,tutors,Kolkata,"H.No. 755, Sridhar Circle, Kollam-413172",+91 92750 46132,Google
Daily Needs Grocery,grocery stores,Chennai,"H.No. 220, Kapadia Nagar, Chinsurah 449813",076-23828480,Justdial
Lipika Plumbing,plumbers,Ahmedabad,"H.No. 44, Upadhyay Road, Kochi 307795",038-29271775,Google
Mumbai Fitness Club,gyms,Pune,"H.No. 66, Chadha Ganj, Sultan Pur Majra-922456",+91 70873 70339,Sulekha
Prabhakar Kirana Store,grocery stores,Chennai,"H.No. 742, Ray Marg, Latur 813253",065-28416344,Sulekha
Radhakrishnan Coaching Classes,tutors,Kolkata,"H.No. 49, Mandal Road, Tirunelveli-773902",+91 89959 25309,Justdial
Dr. Fitan's Clinic,clinics,Hyderabad,"043, Pillay Path, Mysore 691257",+91 89809 87739,Justdial
Flavors of India,restaurants,Mumbai,"416, Sabharwal Nagar, Nagercoil-097518",+91 97554 66988,Google
Tap & Pipe Solutions,plumbers,Ahmedabad,"716, Verma Path, Jamalpur 365996",038-23215036,Sulekha
Elite Tutorials,tutors,Kolkata,"10/110, Dar Street, Chennai 503174",055-23812912,Sulekha
Glow & Style,salons,Delhi,"67, Puri Nagar, Katni-376982",+91 90714 61602,Justdial
Anjali Electric,electricians,Bengaluru,"H.No. 763, Parekh Road, Jalgaon 769734",+91 97698 52563,Justdial
Hari Hair Studio,salons,Delhi,"577, Bir Street, Bokaro 036442",045-29891786,Justdial
FlowRight Plumber Services,plumbers,Ahmedabad,"09/28, Master Marg, Durg 073849",,Justdial
Daksha's Academy,tutors,Kolkata,"049, Halder Ganj, Agartala-287475",+91 81600 29058,Justdial
Daily Needs Grocery,grocery stores,Chennai,"67/38, Randhawa Chowk, Bardhaman-489336",+91 98745 44005,Justdial
Chowdhury Kirana Store,grocery stores,Chennai,"H.No. 945, Chhabra Chowk, Srinagar-469886",+91 96639 25034,Google
Care & Cure Clinic,clinics,Hyderabad,"26/20, Bedi Zila, Lucknow 880513",+91 88657 34209,Google
Glow & Style,salons,Delhi,"43/407, Patel Zila, Vasai-Virar-311476",+91 95273 61022,Google
Arogya Medical Centre,clinics,Hyderabad,"13/92, Rege Road, Nashik 459245",048-27265269,Justdial
Sankar Kirana Store,grocery stores,Chennai,"H.No. 11, Bhasin Path, Mango 943075",+91 73248 79119,Sulekha
QuickFix Plumbing,plumbers,Ahmedabad,"H.No. 68, Mannan Marg, Siwan-350890",044-27781094,Justdial
Panini Plumbing,plumbers,Ahmedabad,"09/33, Badami, Parbhani 544173",+91 70881 34213,Justdial
Nanda Coaching Classes,tutors,Kolkata,"08/091, Borde Circle, Phagwara-633120",044-26576806,Sulekha
Care & Cure Clinic,clinics,Hyderabad,"97/17, Bhalla Circle, Sambhal-158647",+91 77665 64300,Justdial
Bright Light Electricals,electricians,Bengaluru,"700, Vala, Sikar-626799",+91 92830 88890,Google
Volt Power Solutions,electricians,Bengaluru,"01/976, Varughese Path, Dhanbad-124217",053-21676923,Justdial
Mumbai Health Center,clinics,Hyderabad,"42/204, Sura Circle, Alwar 126851",026-21682594,Sulekha
Dhingra Kirana Store,grocery stores,Chennai,"H.No. 17, Kadakia Street, Pune 180630",+91 86739 81704,Google
The Golden Curry,restaurants,Mumbai,"24/503, Balan Circle, Madhyamgram-457144",+91 89841 25171,Justdial
Royal Darbar,restaurants,Mumbai,"17, Lall Nagar, Solapur-789121",+91 95924 10941,Sulekha
Apna Bazar,grocery stores,Chennai,"H.No. 306, Ahluwalia Path, Patiala-436086",+91 73788 87925,Justdial
Sparky Electric Services,electricians,Bengaluru,"90/24, Choudhury Nagar, Erode 422110",+91 87893 76749,Google
Hayer Kirana Store,grocery stores,Chennai,"H.No. 92, Swaminathan Nagar, Proddatur 291217",+91 96049 49892,Google
Joshi Plumbers,plumbers,Ahmedabad,"H.No. 65, Keer Zila, Bikaner-825897",+91 99789 51712,Justdial
Kapadia Plumbers,plumbers,Ahmedabad,"783, Srivastava Ganj, Srikakulam-724517",+91 88980 30517,Sulekha
Bali Kirana Store,grocery stores,Chennai,"32/592, Badami Nagar, Panvel 913007",+91 73366 23787,Sulekha
Tap & Pipe Solutions,plumbers,Ahmedabad,"91/32, Reddy Road, Firozabad-992256",+91 98993 84559,Justdial
Kolkata Fitness Club,gyms,Pune,"94, Nagy Street, Bidar 997419",+91 88120 57860,Google
Chaudhry Clinic,clinics,Hyderabad,"H.No. 45, Basu Marg, Patiala 334314",+91 84293 76913,Sulekha
Tandoori Nights,restaurants,Mumbai,"65/575, Reddy Circle, Jhansi-294126",+91 98056 24359,Justdial
Apna Bazar,grocery stores,Chennai,"65, Kala Zila, Satna 246875",+91 85912 98665,Sulekha
Dara Plumbers,plumbers,Ahmedabad,"H.No. 670, Rana Path, Naihati-829410",+91 95691 54099,Justdial
Wishi Electric,electricians,Bengaluru,"H.No. 85, Bandi Street, Mahbubnagar-228969",+91 70574 10133,Google
Bedi Coaching Classes,tutors,Kolkata,,+91 74684 69181,Google
Karan's Academy,tutors,Kolkata,"58/02, Bhatt Nagar, Naihati 985949",+91 96361 72590,Google
Royal Darbar,restaurants,Mumbai,"11/364, Natarajan, Bhimavaram 895641",+91 77646 93319,Sulekha
Elite Tutorials,tutors,Kolkata,"329, D’Alia Ganj, Chinsurah 876392",+91 93222 76081,Google
Scissors & Comb,salons,Delhi,"H.No. 47, Hari Circle, Panvel 261370",+91 72833 16556,Justdial
Keer Plumbers,plumbers,Ahmedabad,"26/51, Cheema Marg, Sangli-Miraj & Kupwad 510440",022-25158525,Justdial
Shine Beauty Parlour,salons,Delhi,"38, Mander Street, Shahjahanpur 528419",+91 79941 47740,Google
Jagat's Bistro,restaurants,Mumbai,"44/72, Kuruvilla Nagar, Firozabad 525941",069-29665556,Google
Randhawa Kitchen,restaurants,Mumbai,"494, Sahni Circle, Guna-572788",+91 77832 45077,Google
Tiwari Plumbers,plumbers,Ahmedabad,"H.No. 28, Murty Chowk, Gulbarga 498575",+91 86074 38610,Google
Flavors of India,restaurants,Mumbai,"34/71, Swaminathan Ganj, Madurai 214992",+91 84347 28413,Justdial
Khosla Kirana Store,grocery stores,Chennai,"865, Patel, Sirsa 903654",+91 93143 40584,Sulekha
Care & Cure Clinic,clinics,Hyderabad,"H.No. 01, Soman Street, Alappuzha 976440",+91 72758 75208,Justdial
FlowRight Plumber Services,plumbers,Ahmedabad,"73/840, Bedi Chowk, Surat-830163",+91 77675 40195,Justdial
The Golden Curry,restaurants,Mumbai,"H.No. 46, Andra Path, Bidar 084739",+91 91913 31038,Sulekha
Bright Future Academy,tutors,Kolkata,"H.No. 938, Mammen Marg, Avadi 177530",055-23130937,Justdial
Ahmedabad Supermarket,grocery stores,Chennai,"20/075, Sarna, Guwahati-960483",+91 97285 98880,Sulekha
Loke Gym & Fitness,gyms,Pune,"H.No. 517, Misra Circle, Berhampore-635977",073-25883182,Google
Royal Darbar,restaurants,Mumbai,"H.No. 37, Nadkarni Road, Deoghar-492575",+91 87048 92682,Google
Borah Electricals,electricians,Bengaluru,"21, Tailor Nagar, Ahmedabad-803003",+91 83537 17442,Google
Hritik's Bistro,restaurants,Mumbai,"360, Manda Circle, Haridwar 931248",041-24751768,Justdial
Shine Beauty Parlour,salons,Delhi,"963, Mittal Chowk, Bulandshahr-613903",+91 90086 44926,Google
Om Kirana Store,grocery stores,Chennai,"92/26, Srinivasan Road, Durgapur-971697",+91 88313 41434,Google
Flavors of India,restaurants,Mumbai,"18/35, Divan Circle, Kulti 113764",+91 95029 57078,Sulekha
Dr. Ishaan's Clinic,clinics,Hyderabad,"48/674, Amble Path, Ramgarh-351449",+91 70843 63202,Justdial
Scissors & Comb,salons,Delhi,"17, Reddy Ganj, Bilaspur-981131",059-29883346,Sulekha
Daily Needs Grocery,grocery stores,Chennai,"35, Vala Chowk, Mumbai-875313",,Sulekha
Loke Gym & Fitness,gyms,Pune,"H.No. 84, Bir Marg, Jaipur-055334",+91 96713 36939,Sulekha
Royal Darbar,restaurants,Mumbai,"H.No. 903, Chawla Street, Kakinada 537804",,Sulekha
FitLife Studio,gyms,Pune,"H.No. 387, Keer Nagar, Thrissur-846772",+91 76405 12808,Google
Nirja Electric,electricians,Bengaluru,"98, Divan Road, Aurangabad-348267",052-24693129,Google
FitLife Studio,gyms,Pune,"60/010, Lata Chowk, Narasaraopet 357975",+91 84479 16123,Google
Gold's Fitness Hub,gyms,Pune,"28/725, Pai Chowk, Darbhanga 689033",078-29329088,Google
Bengaluru Spice,restaurants,Mumbai,,+91 92176 53329,Sulekha
Chaudhari Kitchen,restaurants,Mumbai,"02, Ravel Ganj, Giridih 843625",+91 80373 79670,Justdial
The Golden Curry,restaurants,Mumbai,"H.No. 40, Kuruvilla Zila, Ranchi 943426",+91 77660 53192,Justdial
FitLife Studio,gyms,Pune,,025-22818717,Sulekha
Sparky Electric Services,electricians,Bengaluru,"665, Chacko Circle, Jhansi-346705",+91 98151 93263,Justdial
Shine Beauty Parlour,salons,Delhi,"24/32, Venkatesh Chowk, Bhiwani-636925",+91 86671 25575,Justdial
Yash Electric,electricians,Bengaluru,"10, Dayal Street, Gurgaon-651640",,Sulekha
Dr. Leela's Clinic,clinics,Hyderabad,"93/842, Dixit Chowk, North Dumdum-957403",032-20943445,Google
Apna Bazar,grocery stores,Chennai,"H.No. 655, Batra Circle, Bangalore-845377",+91 84289 64975,Sulekha
QuickFix Plumbing,plumbers,Ahmedabad,"61/62, Om, Guna 589171",033-21617087,Sulekha
Bright Future Academy,tutors,Kolkata,"71/199, Salvi Street, Kulti-123764",047-26389999,Sulekha
Mander Gym & Fitness,gyms,Pune,"H.No. 13, Sheth Nagar, Tiruppur 858673",+91 97510 83882,Justdial
Scissors & Comb,salons,Delhi,"H.No. 73, Kapur Zila, Madhyamgram 773849",+91 75761 78317,Sulekha
Care & Cure Clinic,clinics,Hyderabad,"80/183, Sen Chowk, Bhagalpur-555304",+91 76438 10645,Sulekha
QuickFix Plumbing,plumbers,Ahmedabad,"H.No. 218, Rau Circle, Berhampore-074257",+91 99458 10573,Justdial
Yadavi Electric,electricians,Bengaluru,"H.No. 15, Balakrishnan Nagar, Bhilai-540542",+91 70096 13580,Google
Shine Beauty Parlour,salons,Delhi,"53/631, Sundaram, Cuttack-687493",+91 79034 40151,Sulekha
Simon Plumbing,plumbers,Ahmedabad,"98, Khurana Ganj, Suryapet-918697",+91 85236 13849,Sulekha
Glow & Style,salons,Delhi,"H.No. 031, Kapoor, Nagercoil-128450",,Google
Veda Plumbing,plumbers,Ahmedabad,"12/09, Yogi Street, Ranchi-609490",+91 94692 86349,Sulekha
Chander Coaching Classes,tutors,Kolkata,"972, Saxena, Pune-348897",+91 74322 14248,Google
Choudhry Coaching Classes,tutors,Kolkata,"28, Bumb Path, Ranchi-233844",+91 86103 70999,Google
Iron & Sweat Gym,gyms,Pune,"51, Barad Nagar, Bhatpara-484956",+91 88947 77639,Google
Alpha Tutorials,tutors,Kolkata,"H.No. 96, Wali Circle, Kirari Suleman Nagar 854622",+91 97446 43984,Google
Hemal's Unisex Salon,salons,Delhi,"34/23, Roy Marg, Jodhpur-402915",+91 88830 86863,Google
Darpan Electric,electricians,Bengaluru,"07, Kar Zila, Sikar-156713",+91 93131 54730,Sulekha
Tripathi Kirana Store,grocery stores,Chennai,"H.No. 505, Kamdar Nagar, Jorhat 100392",+91 99429 16705,Sulekha
Glow & Style,salons,Delhi,"219, Kalla Ganj, Munger-082316",+91 74101 62449,Justdial
Sparky Electric Services,electricians,Bengaluru,"756, Manne Nagar, Bihar Sharif 278629",+91 82077 48249,Sulekha
Sparky Electric Services,electricians,Bengaluru,"571, Ramesh, Hubli–Dharwad 343378",026-25366917,Justdial
Bright Future Academy,tutors,Kolkata,"H.No. 735, Sani Circle, Hapur 940533",+91 78468 87600,Justdial
Arogya Medical Centre,clinics,Hyderabad,"H.No. 60, Gola Marg, Hindupur 993168",+91 96218 97768,Justdial
Mumbai Fitness Club,gyms,Pune,"35/07, Behl, Chittoor 306316",+91 91629 99272,Google
The Golden Curry,restaurants,Mumbai,"96/350, Prabhakar Street, Sultan Pur Majra-158720",+91 85543 77627,Justdial
Pall Plumbers,plumbers,Ahmedabad,"19/45, Devi Nagar, Ichalkaranji-215425",+91 85659 61298,Sulekha
Mumbai Fitness Club,gyms,Pune,"748, Kar Path, Tirupati 905450",+91 75417 58226,Google
Iron & Sweat Gym,gyms,Pune,"745, Sane Nagar, Begusarai 036555",+91 77869 29634,Google
Bright Light Electricals,electricians,Bengaluru,"H.No. 778, Naidu, Sangli-Miraj & Kupwad-002918",+91 84753 48280,Google
Parsa Electricals,electricians,Bengaluru,"H.No. 811, Dave Path, Durg 477368",022-21130406,Justdial
Delhi Supermarket,grocery stores,Chennai,"H.No. 427, Naik Street, Jalandhar-155281",+91 88893 82415,Justdial
Wali Electricals,electricians,Bengaluru,"63/80, Agate, Ludhiana 855101",+91 86981 26185,Justdial
Arogya Medical Centre,clinics,Hyderabad,"42/84, Nanda Street, Farrukhabad-428574",+91 80107 73662,Sulekha
Daily Needs Grocery,grocery stores,Chennai,"48, Mutti Zila, Munger 225674",+91 93596 26094,Justdial
Daily Needs Grocery,grocery stores,Chennai,"H.No. 32, Ranganathan Ganj, Akola 698778",+91 83838 99691,Google
Mumbai Health Center,clinics,Hyderabad,"H.No. 909, Kale Zila, Nadiad 804805",+91 74557 12510,Google
Madhavi's Academy,tutors,Kolkata,"69/66, Kalita Circle, Hajipur-864050",+91 93410 88763,Justdial
Sama Clinic,clinics,Hyderabad,"89/540, Mann Marg, Indore-050278",+91 80679 34146,Sulekha
Daksha's Academy,tutors,Kolkata,"H.No. 85, Bhatt Path, Pallavaram-122186",+91 91494 41354,Google
Chana Plumbers,plumbers,Ahmedabad,"78, Sinha Nagar, Karimnagar-485993",048-26261612,Justdial
Dr. Ishanvi's Clinic,clinics,Hyderabad,"H.No. 74, Grewal, Nellore 208872",+91 71229 22721,Justdial
QuickFix Plumbing,plumbers,Ahmedabad,"H.No. 318, Sundaram Road, Saharanpur 520520",+91 94846 80636,Google
Gold's Fitness Hub,gyms,Pune,"16/015, Babu Chowk, Guna-045825",+91 73732 65464,Google
Daniel Plumbing,plumbers,Ahmedabad,"11/723, Soni Zila, Hindupur-579585",+91 95872 54319,Justdial
Bright Light Electricals,electricians,Bengaluru,"H.No. 72, Tata Nagar, Tiruvottiyur 144242",+91 91270 32842,Justdial
FitLife Studio,gyms,Pune,"37/09, Sen Nagar, Anantapuram-435230",+91 84867 37334,Justdial
Iron & Sweat Gym,gyms,Pune,"20/45, Chanda Street, Jamalpur 137768",+91 75158 35809,Google
Kale Coaching Classes,tutors,Kolkata,"88/787, Oak Circle, Delhi 362637",+91 75487 71412,Google
Glow & Style,salons,Delhi,"17/14, Thaman Zila, Chandrapur-143249",+91 73911 41122,Justdial
Dr. Daksh's Clinic,clinics,Hyderabad,"97/773, Bansal Ganj, Ballia-540127",+91 91469 51045,Sulekha
Alpha Tutorials,tutors,Kolkata,"00/651, Dar Ganj, Kollam 427535",029-21998214,Google
Bright Future Academy,tutors,Kolkata,"05/681, Sodhi Nagar, Mathura-178641",+91 76997 38236,Google
Bright Future Academy,tutors,Kolkata,"77/70, Chana Road, Maheshtala 505436",+91 95648 44330,Google
Delhi Spice,restaurants,Mumbai,"09/24, Bhakta Chowk, Rewa 133593",+91 81777 59441,Google
Apna Bazar,grocery stores,Chennai,"H.No. 38, Deshpande Circle, Begusarai-173381",+91 91292 41147,Sulekha
Owen's Unisex Salon,salons,Delhi,"91/57, Kulkarni Street, Miryalaguda-027390",+91 78895 37842,Google
Urvi Mart,grocery stores,Chennai,"63/651, Padmanabhan Chowk, Pali-154853",+91 98180 58741,Justdial
Kolkata Health Center,clinics,Hyderabad,"H.No. 67, Rama Circle, Bihar Sharif-639819",+91 89027 76927,Sulekha
Shine Beauty Parlour,salons,Delhi,"99/61, Madan Zila, Bangalore-872801",+91 82334 30673,Sulekha
Sharaf Hair Studio,salons,Delhi,"H.No. 37, Pillai Circle, Madhyamgram-908445",+91 96264 45707,Sulekha
QuickFix Plumbing,plumbers,Ahmedabad,"74, Badal Street, Khammam-888260",,Sulekha
Kolkata Spice,restaurants,Mumbai,"05/413, Wadhwa Circle, Firozabad-894564",033-20617784,Justdial
Basak Clinic,clinics,Hyderabad,"H.No. 054, Lad Marg, Agra-347079",+91 93470 21912,Justdial
Gold's Fitness Hub,gyms,Pune,"80/452, Toor Zila, Jabalpur 093322",046-24877993,Justdial
Tandoori Nights,restaurants,Mumbai,"H.No. 504, Ramanathan Zila, Kakinada 458197",072-24901402,Justdial
Flavors of India,restaurants,Mumbai,"89, Ghose Marg, Tinsukia 671681",+91 71041 58007,Google
Apna Bazar,grocery stores,Chennai,"H.No. 66, Nagar Road, Kozhikode 911874",+91 97027 42290,Sulekha
Alpha Tutorials,tutors,Kolkata,"96, Kadakia Path, Danapur 519869",+91 92573 40479,Sulekha
Khalsa Electricals,electricians,Bengaluru,"22, Balan Path, New Delhi 002552",045-27368609,Google
Mangal Coaching Classes,tutors,Kolkata,"H.No. 965, Bath Ganj, Bhimavaram-439957",+91 96836 78353,Justdial
Sparky Electric Services,electricians,Bengaluru,"H.No. 73, Ranganathan Circle, Kolkata 455763",+91 89987 86123,Justdial
Volt Power Solutions,electricians,Bengaluru,"66/546, Sarin Nagar, Anantapuram-495095",+91 80203 26869,Sulekha
QuickFix Plumbing,plumbers,Ahmedabad,"43/214, D’Alia Circle, Sasaram 167438",+91 97461 86410,Google
Scissors & Comb,salons,Delhi,"H.No. 79, Comar Chowk, Dibrugarh-673833",+91 80321 51053,Sulekha
Glow & Style,salons,Delhi,"H.No. 577, Patel Path, Ramgarh 237826",071-24318306,Sulekha
Daily Needs Grocery,grocery stores,Chennai,"H.No. 276, Grover Path, Tirupati 338288",+91 84581 61924,Google
Dixit Coaching Classes,tutors,Kolkata,"76, Sarkar Marg, South Dumdum 842516",+91 72517 40319,Justdial
Chavvi Plumbing,plumbers,Ahmedabad,"H.No. 95, Brahmbhatt Circle, Indore-248628",+91 88784 66792,Google
Arogya Medical Centre,clinics,Hyderabad,"H.No. 48, Kulkarni Nagar, Bangalore 111297",+91 77112 73530,Google
FlowRight Plumber Services,plumbers,Ahmedabad,"H.No. 801, Dugal, Haridwar 561732",066-23390607,Sulekha
Gold's Fitness Hub,gyms,Pune,"91, Kunda Path, Patiala 206359",+91 92095 88893,Google
